Plan_mes;mes;nro_cliente
95729;1;1
96410;1;3
96400;1;2
95729;1;5
95420;1;4
96409;1;6
94497;1;8
95982;1;7
96262;1;9
93720;1;10
94465;1;11
96308;1;12
96385;1;13
95744;1;14
96385;1;15
93618;1;16
96262;1;18
95982;1;17
96133;1;20
96234;1;19
96133;1;21
95982;1;22
95712;1;25
95419;1;23
96054;1;24
96018;1;26
95599;1;27
94516;1;30
96262;1;31
96038;1;29
96385;1;32
94410;1;28
96018;1;36
93720;1;34
94569;1;33
95729;1;35
94366;1;38
96409;1;37
94485;1;39
94366;1;40
94515;1;41
96400;1;43
96262;1;42
95599;1;44
96308;1;45
95419;1;46
96409;1;47
96409;1;49
96327;1;50
96078;1;52
94463;1;51
96121;1;48
96121;1;53
95456;1;54
93537;1;55
93631;1;56
95570;1;58
96293;1;57
95645;1;59
95400;1;61
96413;1;62
96124;1;60
95559;1;63
96440;1;64
93618;1;65
96208;1;66
96133;1;69
96133;1;67
95729;1;68
95456;1;70
95419;1;71
93521;1;73
94497;1;75
95599;1;72
93618;1;74
96332;1;77
95982;1;76
96188;1;78
95712;1;79
96385;1;81
96385;1;82
96208;1;83
95645;1;84
94485;1;80
94497;1;85
96409;1;86
96262;1;87
94458;1;91
95729;1;88
96413;1;90
96208;1;92
95729;1;89
93845;1;93
96400;1;94
96385;1;96
95400;1;95
96121;1;97
95599;1;99
96413;1;100
96119;1;101
96413;1;98
95982;1;103
95595;1;104
95683;1;102
96133;1;105
93720;1;106
93561;1;108
96133;1;107
95982;1;110
96208;1;111
95982;1;109
96327;1;114
95420;1;113
96385;1;115
96409;1;112
95733;1;117
96038;1;116
95456;1;118
95660;1;120
96413;1;119
96018;1;122
95599;1;121
96327;1;123
96385;1;124
96078;1;127
96018;1;125
95595;1;126
96133;1;131
96411;1;128
94485;1;129
96262;1;130
96400;1;132
94402;1;133
96234;1;134
94465;1;135
96262;1;136
96385;1;137
96409;1;139
96038;1;138
95599;1;140
96262;1;141
96133;1;143
96133;1;145
96409;1;142
95670;1;144
96400;1;146
96188;1;149
93618;1;150
96385;1;151
96018;1;148
95729;1;147
95982;1;152
95471;1;153
96234;1;159
96409;1;155
96327;1;154
96208;1;160
96400;1;161
96385;1;157
96133;1;163
94463;1;158
95982;1;156
93618;1;162
96007;1;165
96208;1;164
93618;1;166
96018;1;168
93561;1;169
96409;1;167
94468;1;172
93561;1;171
96007;1;170
95729;1;176
96133;1;173
95982;1;174
95595;1;175
96327;1;177
96332;1;178
96327;1;179
96018;1;180
95599;1;182
96262;1;183
96018;1;185
93561;1;184
96119;1;181
95744;1;190
96133;1;189
95645;1;188
94463;1;186
93561;1;187
96308;1;192
96022;1;194
96038;1;191
96119;1;193
96133;1;195
96234;1;196
96385;1;197
96133;1;200
96022;1;199
96400;1;198
96121;1;201
96410;1;206
96400;1;202
95982;1;205
96262;1;203
95982;1;207
95982;1;208
95729;1;204
96054;1;209
96038;1;210
96409;1;211
96133;1;212
95982;1;214
96119;1;213
95400;1;215
96007;1;218
96018;1;219
96400;1;216
93561;1;217
93537;1;221
93631;1;220
96234;1;222
93618;1;223
93618;1;224
96409;1;225
