Cantidad_Llamadas;Duracion_Llamadas_minutos;nro_cliente;mes;tipo_llamada
1;285;41;1;Saliente
1;30;42;1;Saliente
1;30;92;1;Saliente
1;30;94;1;Saliente
1;80;131;1;Saliente
1;35;131;1;Saliente
12;691;131;1;Saliente
3;206;158;1;Saliente
2;65;158;1;Saliente
1;285;177;1;Saliente
2;793;180;1;Saliente
1;484;304;1;Saliente
25;4168;304;1;Saliente
4;120;304;1;Saliente
1;544;304;1;Saliente
1;120;344;1;Saliente
2;86;344;1;Saliente
2;97;366;1;Saliente
1;174;390;1;Saliente
4;678;390;1;Saliente
1;35;390;1;Saliente
2;230;390;1;Saliente
1;259;407;1;Saliente
1;240;477;1;Saliente
1;245;557;1;Saliente
1;144;580;1;Saliente
1;30;580;1;Saliente
1;736;658;1;Saliente
2;273;689;1;Saliente
4;622;739;1;Saliente
1;147;765;1;Saliente
1;151;765;1;Saliente
4;138;765;1;Saliente
1;30;765;1;Saliente
6;1325;825;1;Saliente
6;652;825;1;Saliente
5;221;825;1;Saliente
1;1200;825;1;Saliente
1;48;827;1;Saliente
2;210;827;1;Saliente
1;129;827;1;Saliente
2;139;877;1;Saliente
2;453;883;1;Saliente
1;355;883;1;Saliente
1;1200;883;1;Saliente
1;122;893;1;Saliente
1;30;893;1;Saliente
1;209;893;1;Saliente
4;367;893;1;Saliente
1;30;934;1;Saliente
1;124;990;1;Saliente
1;30;1036;1;Saliente
1;54;1127;1;Saliente
1;60;1127;1;Saliente
1;30;1179;1;Saliente
5;930;1181;1;Saliente
7;465;1181;1;Saliente
1;76;1213;1;Saliente
1;107;1259;1;Saliente
1;30;1328;1;Saliente
1;86;1346;1;Saliente
17;2533;1347;1;Saliente
3;90;1404;1;Saliente
1;81;1433;1;Saliente
1;63;1433;1;Saliente
1;42;1434;1;Saliente
1;195;1455;1;Saliente
1;174;1469;1;Saliente
1;30;1470;1;Saliente
3;90;1472;1;Saliente
14;979;1507;1;Saliente
1;157;1517;1;Saliente
1;52;1517;1;Saliente
1;53;1517;1;Saliente
1;69;1540;1;Saliente
1;65;1541;1;Saliente
3;90;1541;1;Saliente
1;70;1541;1;Saliente
1;30;1558;1;Saliente
1;55;1629;1;Saliente
3;345;1689;1;Saliente
1;167;1710;1;Saliente
15;3341;1726;1;Saliente
13;965;1726;1;Saliente
5;305;1726;1;Saliente
2;1298;1726;1;Saliente
1;30;1737;1;Saliente
2;60;1779;1;Saliente
1;281;1779;1;Saliente
1;61;1785;1;Saliente
2;60;1793;1;Saliente
1;604;1806;1;Saliente
3;112;1807;1;Saliente
1;645;1828;1;Saliente
1;35;1847;1;Saliente
2;81;1876;1;Saliente
2;97;1876;1;Saliente
1;30;1876;1;Saliente
1;30;1876;1;Saliente
4;120;1889;1;Saliente
2;60;1904;1;Saliente
2;595;2002;1;Saliente
7;2354;2002;1;Saliente
6;295;2034;1;Saliente
1;30;2035;1;Saliente
1;71;2049;1;Saliente
1;155;2076;1;Saliente
1;30;2083;1;Saliente
1;180;2083;1;Saliente
1;715;2084;1;Saliente
1;107;2085;1;Saliente
3;3429;2088;1;Saliente
7;743;2088;1;Saliente
1;584;2088;1;Saliente
8;380;2099;1;Saliente
6;180;2099;1;Saliente
1;136;2156;1;Saliente
1;30;2163;1;Saliente
2;81;2206;1;Saliente
1;30;2225;1;Saliente
1;30;2248;1;Saliente
1;39;2248;1;Saliente
1;30;2248;1;Saliente
1;30;2251;1;Saliente
1;30;2251;1;Saliente
1;368;2251;1;Saliente
6;415;2264;1;Saliente
1;73;2264;1;Saliente
2;706;2264;1;Saliente
2;85;2280;1;Saliente
8;561;2280;1;Saliente
2;71;2320;1;Saliente
1;1082;2320;1;Saliente
1;49;2332;1;Saliente
1;30;2332;1;Saliente
5;169;2332;1;Saliente
1;44;2332;1;Saliente
1;319;2333;1;Saliente
1;30;2362;1;Saliente
9;317;2370;1;Saliente
2;60;2370;1;Saliente
6;180;2370;1;Saliente
9;321;2370;1;Saliente
1;30;2374;1;Saliente
1;100;2375;1;Saliente
3;97;2380;1;Saliente
1;30;2420;1;Saliente
1;286;2427;1;Saliente
1;181;2517;1;Saliente
3;1670;2562;1;Saliente
1;1069;2562;1;Saliente
2;60;2580;1;Saliente
1;572;2593;1;Saliente
1;30;2611;1;Saliente
3;128;2632;1;Saliente
1;96;2632;1;Saliente
2;333;2651;1;Saliente
1;30;2653;1;Saliente
11;346;2686;1;Saliente
13;1425;2686;1;Saliente
1;30;2686;1;Saliente
1;102;2721;1;Saliente
6;587;2748;1;Saliente
1;71;2748;1;Saliente
2;67;2807;1;Saliente
1;146;2807;1;Saliente
3;287;2841;1;Saliente
1;30;2841;1;Saliente
3;101;2841;1;Saliente
1;51;2904;1;Saliente
1;30;2912;1;Saliente
3;256;2920;1;Saliente
1;72;2974;1;Saliente
1;120;2993;1;Saliente
1;76;3005;1;Saliente
1;340;3005;1;Saliente
1;70;3005;1;Saliente
1;30;3035;1;Saliente
2;114;3062;1;Saliente
2;127;3063;1;Saliente
21;2485;3063;1;Saliente
1;80;3063;1;Saliente
1;237;3063;1;Saliente
1;1126;3070;1;Saliente
1;103;3080;1;Saliente
1;30;3083;1;Saliente
1;655;3103;1;Saliente
1;223;3105;1;Saliente
1;399;3187;1;Saliente
10;301;3271;1;Saliente
2;103;3287;1;Saliente
2;214;3287;1;Saliente
3;100;3287;1;Saliente
1;30;3287;1;Saliente
1;30;3287;1;Saliente
4;2375;3300;1;Saliente
3;1620;3343;1;Saliente
2;60;3366;1;Saliente
2;60;3427;1;Saliente
1;616;3491;1;Saliente
7;571;3491;1;Saliente
1;363;3515;1;Saliente
1;891;3541;1;Saliente
1;69;3547;1;Saliente
1;43;3547;1;Saliente
1;30;3555;1;Saliente
1;30;3591;1;Saliente
3;718;3645;1;Saliente
1;47;3645;1;Saliente
1;30;3645;1;Saliente
1;195;3645;1;Saliente
1;363;3645;1;Saliente
5;150;3653;1;Saliente
1;996;3682;1;Saliente
1;30;3690;1;Saliente
2;117;3707;1;Saliente
2;119;3707;1;Saliente
5;211;3707;1;Saliente
1;71;3707;1;Saliente
1;33;3707;1;Saliente
1;45;3710;1;Saliente
2;1044;3710;1;Saliente
4;120;3733;1;Saliente
1;35;3733;1;Saliente
2;60;3735;1;Saliente
2;140;3751;1;Saliente
1;188;3766;1;Saliente
1;59;3771;1;Saliente
1;30;3794;1;Saliente
1;60;3799;1;Saliente
1;30;3805;1;Saliente
8;1752;3815;1;Saliente
1;285;3818;1;Saliente
1;45;3855;1;Saliente
1;30;3865;1;Saliente
1;31;3902;1;Saliente
1;285;3961;1;Saliente
1;30;4035;1;Saliente
1;30;4109;1;Saliente
1;79;4109;1;Saliente
1;167;4109;1;Saliente
1;281;4109;1;Saliente
1;30;4116;1;Saliente
4;571;4156;1;Saliente
1;30;4166;1;Saliente
6;415;4177;1;Saliente
