provincia;nro_cliente
Chaco;1
Santa Fe;2
Córdoba;3
Salta;4
Santa Fe;5
Corrientes;6
Santa Fe;7
Chaco;8
Buenos Aires;9
Chaco;10
Santa Fe;11
Tierra Del Fuego;12
Tucumán;13
Salta;14
Ciudad Autónoma De Buenos Aire;15
Ciudad Autónoma De Buenos Aire;16
Ciudad Autónoma De Buenos Aire;17
Ciudad Autónoma De Buenos Aire;18
Córdoba;19
Chaco;20
Córdoba;21
Santa Fe;22
Córdoba;23
Santa Fe;24
Santa Fe;25
Santa Fe;26
Santa Fe;27
Santa Fe;28
Catamarca;29
Santa Fe;30
Santa Fe;31
Santa Fe;32
Misiones;33
Chaco;34
Santa Fe;35
Santa Fe;36
Santa Fe;37
Chaco;38
Santa Fe;39
Entre Ríos;40
Santa Fe;41
Buenos Aires;42
Ciudad Autónoma De Buenos Aire;43
Ciudad Autónoma De Buenos Aire;44
Ciudad Autónoma De Buenos Aire;45
Ciudad Autónoma De Buenos Aire;46
Ciudad Autónoma De Buenos Aire;47
Ciudad Autónoma De Buenos Aire;48
Ciudad Autónoma De Buenos Aire;49
Ciudad Autónoma De Buenos Aire;50
Buenos Aires;51
Santa Fe;52
Buenos Aires;53
Ciudad Autonoma De Buenos Aire;54
Ciudad Autónoma De Buenos Aire;55
Ciudad Autónoma De Buenos Aire;56
Ciudad Autónoma De Buenos Aire;57
Buenos Aires;58
Ciudad Autónoma De Buenos Aire;59
Ciudad Autónoma De Buenos Aire;60
Buenos Aires;61
Ciudad Autónoma De Buenos Aire;62
Santa Fe;63
Ciudad Autónoma De Buenos Aire;64
Ciudad Autónoma De Buenos Aire;65
Entre Ríos;66
Ciudad Autónoma De Buenos Aire;67
Corrientes;68
Ciudad Autónoma De Buenos Aire;69
Córdoba;70
Córdoba;71
Tucumán;72
Santa Fe;73
Santa Fe;74
Chaco;75
Ciudad Autónoma De Buenos Aire;76
Tierra Del Fuego;77
Santa Fe;78
Santa Fe;79
Santa Fe;80
Córdoba;81
Córdoba;82
Ciudad Autónoma De Buenos Aire;83
Tucumán;84
Córdoba;85
Ciudad Autónoma De Buenos Aire;86
Santa Fe;87
Santa Fe;88
Córdoba;89
Córdoba;90
Chaco;91
Buenos Aires;92
Santa Fe;93
Buenos Aires;94
Buenos Aires;95
Santa Fe;96
Córdoba;97
Ciudad Autónoma De Buenos Aire;98
Santa Fe;99
Córdoba;100
Ciudad Autónoma De Buenos Aire;101
Chaco;102
Santa Fe;103
Corrientes;104
Ciudad Autónoma De Buenos Aire;105
Tucumán;106
Córdoba;107
Tucumán;108
Ciudad Autónoma De Buenos Aire;109
Jujuy;110
Ciudad Autónoma De Buenos Aire;111
Ciudad Autónoma De Buenos Aire;112
Ciudad Autónoma De Buenos Aire;113
Jujuy;114
Tucumán;115
Ciudad Autónoma De Buenos Aire;116
Entre Ríos;117
Ciudad Autónoma De Buenos Aire;118
Tucumán;119
Río Negro;120
Córdoba;121
Ciudad Autónoma De Buenos Aire;122
Santa Fe;123
Chaco;124
Ciudad Autónoma De Buenos Aire;125
Santa Fe;126
Corrientes;127
Tucumán;128
Buenos Aires;129
Ciudad Autónoma De Buenos Aire;130
